Source	Overall	Consistently liberal	Mostly liberal	Mixed	Mostly conservative	Consistently conservative
CNN	44	52	48	49	32	20
Fox News	39	10	24	39	61	84
ABC News	37	33	38	42	32	26
NBC News	37	37	44	40	29	21
CBS News	29	30	32	32	24	22
MSNBC	27	38	32	25	23	13
Yahoo News	24	16	25	27	25	17
Google News	22	18	23	26	19	13
NPR	20	53	23	12	10	8
BBC	17	34	21	12	8	10
PBS	17	37	18	12	10	7
New York Times	13	33	15	8	7	5
Huffington Post	13	29	15	8	8	10
Daily Show	12	34	14	7	4	1
USA TODAY	12	13	13	11	13	11
Colbert Report	10	26	12	6	5	1
Wall Street Journal	10	12	10	7	13	16
Sean Hannity Show	9	1	0	3	19	45
Rush Limbaugh Show	8	1	0	3	17	43
Washington Post	8	17	9	4	5	6
Glenn Beck Program	6	1	0	2	13	34
TheBlaze	5	1	1	1	10	29
Drudge Report	5	1	1	2	10	20
Politico	4	12	3	2	4	4
Al Jazeera America	4	12	5	2	1	2
Bloomberg	4	5	4	3	5	5
BuzzFeed	4	8	5	3	3	0
New Yorker	3	10	3	1	1	0
Breitbart	3	1	1	1	5	16
Economist	3	7	4	2	2	2
Guardian	3	9	4	2	1	1
Slate	3	9	2	1	1	0
Mother Jones	2	10	2	1	0	0
Ed Schultz Show	2	8	1	0	0	1
Daily Kos	2	9	1	0	0	1
ThinkProgress	1	6	1	0	0	0
