Name	Handle	List_slug_addtl_accts	website	official_politics_handle
Rush Limbaugh Show	rushlimbaugh		rushlimbaugh.com	
Fox News	FoxNews	fox-accounts	foxnews.com,insider.foxnews.com,video.foxnews.com,nation.foxnews.com	foxnewspolitics
Glenn Beck Program	glennbeck		glennbeck.com	
MSNBC	MSNBC	msnbc-shows-and-hosts1	msnbc.com	
Sean Hannity Show	seanhannity		seanhannity.com	
CNN	CNN		cnn.com,edition.cnn.com,money.cnn.com,go.cnn.com,amp.cnn.com	CNNPolitics
NBC News	NBC	nbc-shows	nbc.com	NBCPolitics
Daily Show	TheDailyShow		cc.com	
ABC News	ABC	affiliates,shows	abcnews.go.com,abc.es	ABCPolitics
CBS News	CBS		cbsnews.com	CBSPolitics
Huffington Post	HuffingtonPost		huffingtonpost.com,elections.huffingtonpost.com,shows.huffingtonpost.com	HuffPostPol
New York Times	nytimes		nytimes.com,mobile.nytimes.com,nytlive.nytimes.com	nytpolitics
Al Jazeera America	AJEnglish		aljazeera.com,live.aljazeera.com,interactive.aljazeera.com	AJENews
Colbert Report	StephenAtHome		cc.com	
Yahoo News	YahooNews	yahoo-accounts	yahoo.com,finance.yahoo.com,gma.yahoo.com	YahooPolitics
Washington Post	washingtonpost		washingtonpost.com	postpolitics
USA TODAY	USATODAY	usa-today-branded	usatoday.com,elections16.usatoday.com,ftw.usatoday.com	USATWashington
PBS	PBS	pbs-local-stations	pbs.com	
New Yorker	NewYorker		newyorker.com	
Wall Street Journal	WSJ		wsj.com,blogs.wsj.com,graphics.wsj.com	WSJPolitics
Drudge Report	DRUDGE_REPORT		drudgereport.com	drudgeheadlines
NPR	NPR	npr-member-stations-news,npr-programs	npr.org	nprpolitics
Bloomberg	business	bloomberg-feeds	bloomberg.com	bpolitics
BuzzFeed	BuzzFeed		buzzfeed.com	BuzzFeedPol
BBC	BBCWorld		bbc.com,bbc.co.uk	BBCPolitics
Mother Jones	MotherJones		motherjones.com,m.motherjones.com	
Politico	politico		politico.com	
Ed Schultz Show	edshow		wegoted.com	
Breitbart	BreitbartNews		breitbart.com	
Guardian	guardian	guardian-accounts	theguardian.com	GdnPolitics
TheBlaze	theblaze	brands-shows-entities	theblaze.com	
Daily Kos	dailykos		dailykos.com,m.dailykos.com,elections.dailykos.com	
Slate	Slate	the-slate-group	slate.com	
Economist	TheEconomist	the-economist-accounts	economist.com,learnmore.economist.com	
ThinkProgress	ThinkProgress		thinkprogress.org	
